[2026-01-16 07:18:33] [INFO] Testing database connections before save
[2026-01-16 07:18:33] [SUCCESS] Configuration saved successfully
[2026-01-16 10:19:11] [INFO] Starting insert: tblnotces_courts from db_a to db_b | {"log_id":"log_696a109fed586","columns":["courts_id","court_name"]}
[2026-01-16 10:19:11] [SUCCESS] Insert completed: tblnotces_courts | {"log_id":"log_696a109fed586","source":"db_a","target":"db_b"}
[2026-01-16 10:36:45] [INFO] Starting bulk insert: tblnotces_courts (db_a → db_b) | {"log_id":"log_696a14bd94485","total_rows":1}
[2026-01-16 10:36:45] [INFO] Bulk insert completed: 1 success, 0 failed | {"log_id":"log_696a14bd94485","table":"tblnotces_courts","success":1,"failed":0}
[2026-01-16 15:49:50] [INFO] Starting multi-table sync: advocates (db_b → db_a) | {"log_id":"sync_multi_696a5e1eef414","tables":["advocates"],"create_missing":true,"update_existing":true,"dry_run":false}
[2026-01-16 15:49:50] [INFO] Starting sync: advocates (db_b → db_a) | {"log_id":"sync_696a5e1eef79c","create_missing":true,"update_existing":true,"dry_run":false}
[2026-01-16 15:49:50] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:50] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
[2026-01-16 15:49:51] [ERROR] CREATE failed for advocates: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pk' in 'field list' | {"log_id":"sync_696a5e1eef79c","table":"advocates","operation":"CREATE","pk":"_"}
